агрессорский	negative		
алчный	negative		
аморальный	negative	моральный	
антигигиенический	negative	гигиенический	
антигосударственный	negative	государственный	
антигуманистический	negative	гуманистический	positive
антигуманный	negative	гуманный	positive
антизаконный	negative	законный	
антиморальный	negative	моральный	
антинародный	negative	народный	
антиобщественный	negative	общественный	
антипатриотический	negative	патриотический	
антипатриотичный	negative	патриотичный	
антипедагогический	negative	педагогический	
антипедагогичный	negative	педагогичный	
антипотребительский	negative	потребительский	
антиправительственный	negative	правительственный	
антиправовой	negative	правовой	
антиприродный	negative	природный	
антипрофсоюзный	negative	профсоюзный	
антисанитарный	negative	санитарный	
антисемитский	negative	семитский	
античеловеческий	negative	человеческий	
античеловечный	negative	человечный	positive
аферистский	negative		
бандитский	negative		
бандитствующий	negative		
бедственный	negative		
безвыгодный	negative	выгодный	positive
безвыигрышный	negative	выигрышный	positive
безграмотный	negative	грамотный	positive
бездарный	negative		
бездумный	negative	думный	
бездушный	negative	душный	negative
беззаботливый	negative	заботливый	positive
беззаконный	negative	законный	
безмозглый	negative	мозглый	
безнадёжный	negative	надёжный	
безнравственный	negative	нравственный	
безответственный	negative	ответственный	
безотрадный	negative	отрадный	positive
безрадостный	negative	радостный	positive
безрезультатный	negative	результатный	
безуспешный	negative	успешный	positive
безынтересный	negative	интересный	positive
безыскусный	negative	искусный	positive
бескрасочный	negative	красочный	positive
бескультурный	negative	культурный	
бесперспективный	negative	перспективный	positive
бесполезный	negative	полезный	positive
бесприбыльный	negative	прибыльный	positive
беспутный	negative	путный	positive
бессердечный	negative	сердечный	
бесславный	negative	славный	positive
бессмысленный	negative		
бессовестный	negative	совестный	
бессодержательный	negative	содержательный	
бесстыдный	negative	стыдный	negative
бестактный	negative	тактный	
бестолковый	negative	толковый	
бесчеловечный	negative	человечный	positive
бесчестный	negative	честный	positive
бесчувственный	negative	чувственный	positive
блевотный	negative		
богомерзкий	negative		
болезненный	negative	безболезненный	
бредовый	negative		
вандалистский	negative		
вероломный	negative		
взятнический	negative		
вопиющий	negative		
вороватый	negative		
враждебный	negative		
вредительский	negative		
вредный	negative	безвредный	
вредоносный	negative		
вымогательский	negative		
гадливый	negative		
гадостный	negative		
геноцидный	negative		
гнусный	negative		
голимый	negative		
голословный	negative		
гомофобский	negative		
грабительский	negative		
гребаный	negative		
губительный	negative		
двуличный	negative		
дебильный	negative		
дегенеративный	negative	генеративный	
дезинформационный	negative	информационный	
дезорганизаторский	negative	организаторский	
дерьмовый	negative		
дибильный	negative		
дикарский	negative		
дисгармоничный	negative	гармоничный	positive
дисквалифицированный	negative	квалифицированный	
дискомфортный	negative		
дисфункциональный	negative		
долбаный	negative		
доморощенный	negative		
дурацкий	negative		
живодерский	negative		
жульнический	negative		
злобный	negative		
зловонный	negative		
зловредный	negative		
злодейский	negative		
злокозненный	negative		
злонамеренный	negative		
злорадный	negative		
идиотический	negative		
идиотский	negative		
иждивенческий	negative		
избалованный	negative		
изуверский	negative		
имморальный	negative	моральный	
кичливый	negative	некичливый	
клеветнический	negative		
козлиный	negative		
контрпродуктивный	negative	продуктивный	positive
конфликтный	negative	неконфликтный	
коррумпированный	negative		
коррупционерский	negative		
коррупционный	negative	антикоррупционный	
корыстолюбивый	negative		
криворукий	negative		
кризисный	negative	бескризисный	
криминальный	negative		
критиканский	negative		
кровожадный	negative		
кровопролитный	negative		
ксенофобский	negative		
лженаучный	negative		
лживый	negative		
малообразованный	negative		
мерзкий	negative		
мерзопакостный	negative		
мерзостный	negative		
мошеннический	negative		
насильственный	negative		
нахальный	negative		
нацистский	negative		
неадекватный	negative	адекватный	positive
неаккуратный	negative	аккуратный	positive
неаппетитный	negative	аппетитный	positive
небережливый	negative	бережливый	positive
неблагополучный	negative	благополучный	positive
невежливый	negative	вежливый	positive
невкусный	negative	вкусный	positive
невнимательный	negative	внимательный	positive
невоспитанный	negative	воспитанный	positive
невостребованный	negative	востребованный	positive
невыгодный	negative	выгодный	positive
невыигрышный	negative	выигрышный	positive
невыразительный	negative	выразительный	positive
негигиеничный	negative	гигиеничный	positive
негодный	negative	годный	positive
негостеприимный	negative	гостеприимный	positive
неграмотный	negative	грамотный	positive
недальновидный	negative	дальновидный	positive
неделикатный	negative	деликатный	positive
недисциплинированный	negative	дисциплинированный	positive
недобрый	negative	добрый	positive
недовольный	negative	довольный	positive
недостойный	negative	достойный	positive
недружелюбный	negative	дружелюбный	positive
недружный	negative	дружный	positive
нежелательный	negative	желательный	positive
нежизнерадостный	negative	жизнерадостный	positive
незаботливый	negative	заботливый	positive
незаконный	negative	законный	
незанимательный	negative	занимательный	positive
нездоровый	negative	здоровый	
неизлечимый	negative	излечимый	positive
неинтеллигентный	negative	интеллигентный	positive
неинтересный	negative	интересный	positive
неискренний	negative	искренний	positive
неискусный	negative	искусный	positive
неисполнительный	negative	исполнительный	positive
неисправный	negative	исправный	positive
некассовый	negative	кассовый	
некачественный	negative	качественный	positive
некомпетентный	negative	компетентный	positive
некомфортабельный	negative	комфортабельный	positive
некомфортный	negative	комфортный	positive
неконкурентоспособный	negative	конкурентоспособный	positive
неконструктивный	negative	конструктивный	positive
некрасивый	negative	красивый	positive
некультурный	negative	культурный	
неладный	negative	ладный	positive
неласковый	negative	ласковый	positive
неликвидный	negative	ликвидный	positive
нелицеприятный	negative	лицеприятный	positive
нелогичный	negative	логичный	positive
нелюбезный	negative	любезный	positive
нелюбимый	negative	любимый	positive
немилосердный	negative	милосердный	positive
немирный	negative	мирный	
немудрый	negative	мудрый	positive
ненадёжный	negative	надёжный	positive
необразованный	negative	образованный	
неодобрительный	negative	одобрительный	positive
неопрятный	negative	опрятный	positive
неосмотрительный	negative	осмотрительный	positive
неотзывчивый	negative	отзывчивый	positive
неперспективный	negative	перспективный	positive
неплодородный	negative	плодородный	positive
непогожий	negative	погожий	positive
непозволительный	negative	позволительный	
неполезный	negative	полезный	positive
непорядочный	negative	порядочный	positive
непотребный	negative	потребный	
непочтительный	negative	почтительный	
неправомерный	negative	правомерный	positive
неправосудный	negative	правосудный	positive
неправый	negative	правый	
непредусмотрительный	negative	предусмотрительный	positive
непривлекательный	negative	привлекательный	positive
неприглядный	negative	приглядный	positive
непригожий	negative	пригожий	positive
неприемлемый	negative	приемлемый	
неприличный	negative	приличный	
непристойный	negative	пристойный	positive
неприятный	negative	приятный	positive
непродуктивный	negative	продуктивный	positive
непростительный	negative	простительный	
непунктуальный	negative	пунктуальный	positive
непутёвый	negative	путёвый	positive
нерадостный	negative	радостный	positive
неразумный	negative	разумный	
нерентабельный	negative	рентабельный	positive
несвежий	negative	свежий	positive
несимпатичный	negative	симпатичный	positive
нескладный	negative	складный	
несмышлёный	negative	смышлёный	positive
несносный	negative	сносный	
несообразительный	negative	сообразительный	positive
несправедливый	negative	справедливый	positive
несчастливый	negative	счастливый	positive
нетактичный	negative	тактичный	positive
неугодный	negative	угодный	positive
неудавшийся	negative	удавшийся	positive
неудачливый	negative	удачливый	positive
неудачный	negative	удачный	positive
неудобный	negative	удобный	positive
неудовлетворительный	negative	удовлетворительный	
неумелый	negative	умелый	positive
неумный	negative	умный	positive
неуравновешенный	negative	уравновешенный	
неуспешный	negative	успешный	positive
нехороший	negative	хороший	positive
нечестный	negative	честный	positive
нечистоплотный	negative	чистоплотный	positive
нечуткий	negative	чуткий	positive
неэтичный	negative	этичный	positive
низкокачественный	negative		
низкосортный	negative		
никакущий	negative		
никудышный	negative		
никчемный	negative		
ничтожный	negative		
обидный	negative	безобидный	
оккупационный	negative		
омерзительный	negative		
оскорбительный	negative		
отвратительный	negative		
отстойный	negative		
пагубный	negative		
пакостный	negative		
паскудный	negative		
плоховатый	negative		
поганый	negative		
позорный	negative		
показушный	negative		
постыдный	negative		
правонарушающий	negative		
предательский	negative		
презрительный	negative		
пренебрежительный	negative		
преступный	negative		
провальный	negative		
проклятый	negative		
противозаконный	negative		
разгильдяйский	negative		
расистский	negative		
русофобский	negative		
сволочной	negative		
скудоумный	negative		
скупердяйский	negative		
спамерский	negative		
спекулянтский	negative		
сраный	negative		
ссаный	negative		
страшный	negative	нестрашный	
стремный	negative		
террористический	negative	контртеррористический	
тошнотворный	negative		
тошнотный	negative		
тупоголовый	negative		
тупорылый	negative		
тщеславный	negative		
ублюдочный	negative		
ужасный	negative		
унизительный	negative		
уродливый	negative		
уродский	negative		
фальсификаторский	negative		
фашистский	negative	антифашистский	
хамский	negative		
ханжеский	negative		
хреновый	negative		
шантажистский	negative		
шантажный	negative		
шовинистический	negative		
шовинистский	negative		
экстремистский	negative	неэкстремистский	
антидепрессивный	positive	депрессивный	negative
антидискриминационный	positive	дискриминационный	negative
антистрессовый	positive	стрессовый	negative
безгневный	positive	гневный	negative
безгреховный	positive	греховный	negative
безгрешный	positive	грешный	negative
бездефектный	positive	дефектный	negative
безобманный	positive	обманный	negative
безопасный	positive	опасный	negative
безошибочный	positive	ошибочный	negative
безубыточный	positive	убыточный	negative
безукоризненный	positive	укоризненный	negative
безупречный	positive	упречный	negative
бережный	positive		
бескорыстный	positive	корыстный	negative
бесподобный	positive	подобный	
беспроигрышный	positive	проигрышный	negative
бесстрашный	positive	страшный	negative
бесстрессовый	positive	стрессовый	negative
бесхлопотный	positive	хлопотный	negative
бесценный	positive	ценный	positive
благовоспитанный	positive		
благодарный	positive		
благожелательный	positive		
благоприятный	positive		
благородный	positive		
благосклонный	positive		
блистательный	positive		
вежественный	positive		
великолепный	positive		
виртуозный	positive		
вкусный	positive	безвкусный	
воспитанный	positive		
восхитительный	positive		
выдающийся	positive		
высококлассный	positive		
высокообразованный	positive		
высокопроизводительный	positive		
высокопрофессиональный	positive		
высокосортный	positive		
гармонирующий	positive	дисгармонирующий	
гениальный	positive		
героичный	positive		
гуманистический	positive		
дельный	positive	бездельный	
доблестный	positive		
добродетельный	positive		
добродушный	positive		
доброжелательный	positive		
добросердечный	positive		
добросовестный	positive		
замечательный	positive		
звучный	positive	беззвучный	
идеальный	positive		
изобретательный	positive		
изумительный	positive		
изысканный	positive		
изящный	positive		
клевый	positive		
легендарный	positive		
мастерский	positive		
миловидный	positive		
миролюбивый	positive		
надлежащий	positive		
находчивый	positive		
начитанный	positive		
невредный	positive	вредный	negative
неглупый	positive	глупый	negative
недурной	positive	дурной	negative
незаурядный	positive	заурядный	negative
незлой	positive	злой	negative
незлопамятный	positive	злопамятный	negative
неиспорченный	positive	испорченный	negative
нелицемерный	positive	лицемерный	negative
неопасный	positive	опасный	negative
неотразимый	positive	отразимый	
неплохой	positive	плохой	negative
неповторимый	positive	повторимый	
неподражаемый	positive	подражаемый	
несравненный	positive	сравненный	
няшный	positive		
обаятельный	positive		
обворожительный	positive		
образцовый	positive		
отважный	positive		
отменный	positive		
офигенный	positive		
офигительный	positive		
охренительный	positive		
очаровательный	positive		
очешуенный	positive		
памятный	positive	беспамятный	
первоклассный	positive		
плодотворный	positive		
поразительный	positive		
порядочный	positive		
потрясающий	positive		
потрясный	positive		
похвальный	positive		
производительный	positive		
проникновенный	positive		
развитый	positive		
райский	positive		
распрекрасный	positive		
расчудесный	positive		
роскошный	positive		
самоотверженный	positive		
сногсшибательный	positive		
топовый	positive		
трудолюбивый	positive		
увлекательный	positive		
умный	positive	безумный	
усердный	positive		
уютный	positive		
храбрый	positive		
целеустремленный	positive		
человеколюбивый	positive		
чистосердечный	positive		
чудесный	positive		
шедевральный	positive		
эффективный	positive		
наиглупый	very negative	глупый	negative
наиплохой	very negative	плохой	negative
прегадкий	very negative	гадкий	negative
прежестокий	very negative	жестокий	negative
презлой	very negative	злой	negative
преподлый	very negative	подлый	negative
препротивный	very negative	противный	
прескверный	very negative	скверный	negative
прескучный	very negative	скучный	
преупрямый	very negative	упрямый	
сверхбанальный	very negative	банальный	
наилучший	very positive	лучший	positive
наипрекраснейший	very positive	прекраснейший	very positive
наихороший	very positive	хороший	positive
преблагой	very positive	благой	positive
превкусный	very positive	вкусный	positive
превосходный	very positive	восходный	
предобрый	very positive	добрый	positive
преинтересный	very positive	интересный	positive
преискусный	very positive	искусный	positive
прелестный	very positive	лестный	
премилый	very positive	милый	positive
премудрый	very positive	мудрый	positive
преотличный	very positive	отличный	
преумный	very positive	умный	positive
преуспевающий	very positive	успевающий	
сверхблагополучный	very positive	благополучный	positive
сверхнадёжный	very positive	надёжный	positive
сверходарённый	very positive	одарённый	positive
сверхопытный	very positive	опытный	
сверхприбыльный	very positive	прибыльный	positive
сверхпроницательный	very positive	проницательный	positive
сверхрентабельный	very positive	рентабельный	positive
сверхсовершенный	very positive	совершенный	
сверхталантливый	very positive	талантливый	positive
сверхудачный	very positive	удачный	positive
сверхуспешный	very positive	успешный	positive
сверхчуткий	very positive	чуткий	positive
супергероический	very positive	героический	positive
супердоходный	very positive	доходный	positive
суперкассовый	very positive	кассовый	
супернадёжный	very positive	надёжный	positive
суперпрестижный	very positive	престижный	positive
супершикарный	very positive	шикарный	positive
антиатомный		атомный	
антибазовый		базовый	
антибиотический		биотический	
антигенный		генный	
антинейтринный		нейтринный	
антинейтронный		нейтронный	
антипоносный		поносный	
антиядерный		ядерный	
архидьяконский		дьяконский	
архиепископский		епископский	
архипастырский		пастырский	
безвинный		винный	
бездельный		дельный	
безденежный		денежный	
бездорожный		дорожный	
бездушный		душный	
безмерный		мерный	
безмозглый		мозглый	
безмужний		мужний	
безнадзорный		надзорный	
безнадёжный		надёжный	
безоговорочный		оговорочный	
безразличный		различный	
безропотный		ропотный	
безумный		умный	
безысходный		исходный	
бесконтрольный		контрольный	
бескрайний		крайний	
беспалый		палый	
беспамятный		памятный	
беспокойный		покойный	
бесполый		полый	
беспримерный		примерный	
бессонный		сонный	
бесстрашный		страшный	
бесстыдный		стыдный	
бестеневой		теневой	
бесфамильный		фамильный	
бесценный		ценный	
бесчисленный		численный	
гипердактилический		дактилический	
гиперстенический		стенический	
гипертонический		тонический	
гипертрофический		трофический	
гиперэллиптический		эллиптический	
дисквалификационный		квалификационный	
дисквалифицированный		квалифицированный	
дистонический		тонический	
дистрофический		трофический	
иммиграционный		миграционный	
интонированный		тонированный	
контркультурный		культурный	
контрлатеральный		латеральный	
невинный		винный	
непосредственный		посредственный	
непотребный		потребный	
непреклонный		преклонный	
несметный		сметный	
пребывающий		бывающий	
превзошедший		взошедший	
превозвышенный		возвышенный	
превозмогший		возмогший	
превознесённый		вознесённый	
превознёсший		вознёсший	
превознёсшийся		вознёсшийся	
превосходный		восходный	
преклонённый		клонённый	
прекраснейший		краснейший	
прелестный		лестный	
преобладающий		обладающий	
преобразованный		образованный	
преобразовательный		образовательный	
преобразуемый		образуемый	
преодолённый		одолённый	
преподнесённый		поднесённый	
преподнёсший		поднёсший	
препозитивный		позитивный	
препорученный		порученный	
препочтенный		почтенный	
прерванный		рванный	
пресечённый		сечённый	
преследующий		следующий	
пресытившийся		сытившийся	
претерпевший		терпевший	
преуспевающий		успевающий	
преходящий		ходящий	
прешедший		шедший	
сверхлимитный		лимитный	
сверхобычный		обычный	
сверхплановый		плановый	
сверхпредельный		предельный	
сверхприродный		природный	
сверхремонтный		ремонтный	
сверхфондовый		фондовый	
сверхштатный		штатный	
сверхъестественный		естественный	
супергетеродинный		гетеродинный	
суперкомпьютерный		компьютерный	
супермарафонский		марафонский	
супермодерновый		модерновый	
суперсегментный		сегментный	
суперфинальный		финальный	
суперфосфатный		фосфатный	
нехороший		хороший	
недобрый		добрый	
наихороший		хороший	
предобрый		добрый	
непорядочный		порядочный	
антигуманистический		гуманистический	
безнадёжный		надёжный	
