бездействовать	negative	действовать
безумствовать	negative	умствовать
бесчестить	negative	честить
дегенерировать	negative	генерировать
деградировать	negative	градировать
дезинформировать	negative	информировать
дезорганизовать	negative	организовать
дезорганизовывать	negative	организовывать
депрессовать	negative	прессовать
дестабилизировать	negative	стабилизировать
дестабилизироваться	negative	стабилизироваться
дисквалифицироваться	negative	квалифицироваться
недоглядеть	negative	доглядеть
недооценивать	negative	дооценивать
недосмотреть	negative	досмотреть
недоспать	negative	доспать
недоставать	negative	доставать
недосыпать	negative	досыпать
пресытиться	negative	сытиться
преувеличивать	negative	увеличивать
преувеличить	negative	увеличить
преуменьшать	negative	уменьшать
преуменьшить	negative	уменьшить
преуспевать	positive	успевать
преуспеть	positive	успеть
антидатировать		датировать
антидатироваться		датироваться
антимонополизировать		монополизировать
атонировать		тонировать
безуметь		уметь
беспокоить		покоить
беспокоиться		покоиться
бессмыслить		смыслить
бесчеститься		честиться
деавторизовать		авторизовать
деактивировать		активировать
деблокировать		блокировать
дебюрократизировать		бюрократизировать
дегазировать		газировать
дегазироваться		газироваться
дегидратировать		гидратировать
дегидрировать		гидрировать
дезактивировать		активировать
дезактивироваться		активироваться
дезинфицировать		инфицировать
дезинфицироваться		инфицироваться
дезинформироваться		информироваться
дезодорировать		одорировать
дезорганизоваться		организоваться
дезорганизовываться		организовываться
дезориентировать		ориентировать
дезориентироваться		ориентироваться
деиндивидуализировать		индивидуализировать
декалькировать		калькировать
декальцинировать		кальцинировать
деквалифицировать		квалифицировать
деквалифицироваться		квалифицироваться
декодировать		кодировать
демаскировать		маскировать
демаскироваться		маскироваться
демилитаризовать		милитаризовать
демилитаризоваться		милитаризоваться
демистифицировать		мистифицировать
демобилизовать		мобилизовать
демобилизоваться		мобилизоваться
демонтировать		монтировать
демонтироваться		монтироваться
демуниципализировать		муниципализировать
демуниципализироваться		муниципализироваться
денатурализовать		натурализовать
денатурализоваться		натурализоваться
денационализировать		национализировать
денационализироваться		национализироваться
денормализовать		нормализовать
деперсонифицировать		персонифицировать
дерегулировать		регулировать
десенсибилизировать		сенсибилизировать
десенсибилизироваться		сенсибилизироваться
дестимулировать		стимулировать
детонировать		тонировать
деформировать		формировать
деформироваться		формироваться
дехлорировать		хлорировать
децентрализовать		централизовать
децентрализоваться		централизоваться
дешифровать		шифровать
дешифроваться		шифроваться
деэтимологизироваться		этимологизироваться
дизассемблировать		ассемблировать
дисгармонировать		гармонировать
дисквалифицировать		квалифицировать
диссимулировать		симулировать
иммигрировать		мигрировать
иммобилизовать		мобилизовать
иннервировать		нервировать
интонироваться		тонироваться
контратаковать		атаковать
недоработать		доработать
недостать		достать
пребывать		бывать
пребыть		быть
превзойти		взойти
превозмочь		возмочь
превознести		вознести
превознестись		вознестись
превозносить		возносить
превозноситься		возноситься
прегрешить		грешить
преклонить		клонить
преклониться		клониться
преломить		ломить
преломиться		ломиться
прельстить		льстить
прельститься		льститься
преминуть		минуть
преобладать		обладать
преобразовать		образовать
преобразоваться		образоваться
преобразовывать		образовывать
преобразовываться		образовываться
преодолевать		одолевать
преодолеваться		одолеваться
преодолеть		одолеть
преподнести		поднести
преподносить		подносить
преподноситься		подноситься
препоручаться		поручаться
препоручить		поручить
препроводить		проводить
прервать		рвать
прерваться		рваться
пресечься		сечься
пресытить		сытить
претерпеть		терпеть
преткнуться		ткнуться
претыкаться		тыкаться
преувеличиваться		увеличиваться
преуменьшаться		уменьшаться
преумножить		умножить
преходить		ходить
базарить	negative	
баклушничать	negative	
баловаться	negative	
бандитствовать	negative	
бастовать	negative	
беднеть	negative	
бедокурить	negative	
бедствовать	negative	
бездельничать	negative	
безобразить	negative	
безобразничать	negative	
бесить	negative	
беситься	negative	
бесноваться	negative	
беспутничать	negative	
блевануть	negative	
блевать	negative	
блефовать	negative	
блудить	negative	
богохульничать	negative	
богохульствовать	negative	
бомбануть	negative	
бомбардировать	negative	
бомбить	negative	
борзеть	negative	
бормотать	negative	
бояться	negative	
бравировать	negative	
браконьерствовать	negative	
браниться	negative	
брехать	negative	
брюзжать	negative	
бузить	negative	
буйствовать	negative	
бухать	negative	
бушевать	negative	
буянить	negative	
важничать	negative	
валандаться	negative	
вздорить	negative	
вздорожать	negative	
взламывать	negative	
взломать	negative	
взмутить	negative	
вожжаться	negative	
возмутить	negative	
возмущать	negative	
вознегодовать	negative	
возненавидеть	negative	
возомнить	negative	
волынить	negative	
вонять	negative	
воровать	negative	
воспалиться	negative	
воспаляться	negative	
впаривать	negative	
врать	negative	
вредить	negative	
встопорщиться	negative	
встревать	negative	
встрянуть	negative	
встрять	negative	
вторгаться	negative	
вторгнуться	negative	
выбесить	negative	
выбешивать	negative	
вывихивать	negative	
вывихнуть	negative	
вывозиться	negative	
выкаблучиваться	negative	
выкамаривать	negative	
выклянчивать	negative	
выклянчить	negative	
выкрадывать	negative	
выкрасть	negative	
вымазаться	negative	
вымазываться	negative	
выматерить	negative	
выматывать	negative	
вымереть	negative	
вымирать	negative	
вымогать	negative	
вымотать	negative	
выпачкать	negative	
выпачкаться	negative	
выпендрежничать	negative	
выпендриваться	negative	
выпендриться	negative	
выпяливаться	negative	
выпялиться	negative	
выслуживаться	negative	
выташнивать	negative	
вытошнить	negative	
гадить	negative	
галлюцинировать	negative	
гваздаться	negative	
гибнуть	negative	
глохнуть	negative	
глумиться	negative	
глупеть	negative	
глупить	negative	
глючить	negative	
гнать	negative	
гнести	negative	
гнить	negative	
гнобить	negative	
гнушаться	negative	
горбатиться	negative	
горевать	negative	
горчить	negative	
грабануть	negative	
грабить	negative	
гребать	negative	
грипповать	negative	
гробить	negative	
грозить	negative	
грозиться	negative	
грубить	negative	
грубиянить	negative	
грустить	negative	
грызться	negative	
грязнить	negative	
грязниться	negative	
губить	negative	
двурушничать	negative	
дебоширить	negative	
дезертировать	negative	
демагогствовать	negative	
демонизировать	negative	
деморализовать	negative	
дерзить	negative	
дискредитировать	negative	
дискриминировать	negative	
диссидентствовать	negative	
докуриться	negative	
докучать	negative	
долбануться	negative	
домогаться	negative	
домучиться	negative	
донимать	negative	
донять	negative	
допекать	negative	
досадовать	negative	
досаждать	negative	
дохнуть	negative	
дразнить	negative	
драться	negative	
дрейфить	negative	
дуреть	negative	
дурманить	negative	
дурнеть	negative	
ебануться	negative	
егозить	negative	
ерничать	negative	
жадничать	negative	
жалить	negative	
жечься	negative	
жульничать	negative	
журить	negative	
жучить	negative	
заблуждаться	negative	
заболевать	negative	
заболеть	negative	
заволынить	negative	
завраться	negative	
завысить	negative	
завышать	negative	
загадить	negative	
загаживать	negative	
загваздать	negative	
загваздаться	negative	
заглохнуть	negative	
загнивать	negative	
загнить	negative	
загрустить	negative	
загрязнить	negative	
загрязниться	negative	
загрязнять	negative	
загрязняться	negative	
загубить	negative	
задолбать	negative	
задохнуться	negative	
задубеть	negative	
задыхаться	negative	
зажраться	negative	
зазвездиться	negative	
зазнаваться	negative	
зазнаться	negative	
зазябнуть	negative	
закабалить	negative	
закабалять	negative	
закапризничать	negative	
закисать	negative	
закиснуть	negative	
заклиниваться	negative	
заклиниться	negative	
заколебать	negative	
закомплексовать	negative	
закрепостить	negative	
закрепощать	negative	
закручиниться	negative	
залихорадить	negative	
заляпать	negative	
заляпывать	negative	
замарать	negative	
замараться	negative	
заморачивать	negative	
замориться	negative	
замусоривать	negative	
замусорить	negative	
замутнеть	negative	
замучить	negative	
замучиться	negative	
замызгать	negative	
замызгивать	negative	
занедужить	negative	
занеметь	negative	
занемочь	negative	
заныть	negative	
запарывать	negative	
запачкать	negative	
запачкаться	negative	
заплевывать	negative	
запоздать	negative	
заполитизировать	negative	
запороть	negative	
запропаститься	negative	
запропасть	negative	
запутаться	negative	
запутываться	negative	
запьянеть	negative	
заражать	negative	
заражаться	negative	
заразить	negative	
заразиться	negative	
зарезаться	negative	
зариться	negative	
заругаться	negative	
заскучать	negative	
засориться	negative	
засоряться	negative	
застаиваться	negative	
застопориваться	negative	
застопориться	negative	
застояться	negative	
застреливаться	negative	
застрелиться	negative	
засудить	negative	
засуживать	negative	
затерроризировать	negative	
затеряться	negative	
заткнуться	negative	
затоплять	negative	
затопляться	negative	
затосковать	negative	
затошнить	negative	
затруднить	negative	
затрудниться	negative	
затруднять	negative	
затрудняться	negative	
затыкаться	negative	
захворать	negative	
захилеть	negative	
захиреть	negative	
захлебнуться	negative	
захлебываться	negative	
захлопотаться	negative	
зачахнуть	negative	
звереть	negative	
зверствовать	negative	
злеть	negative	
злобиться	negative	
злобствовать	negative	
злодействовать	negative	
злопыхательствовать	negative	
злорадствовать	negative	
злословить	negative	
злоупотребить	negative	
злоупотреблять	negative	
знобить	negative	
зомбировать	negative	
зубоскалить	negative	
зубоскальничать	negative	
зудеть	negative	
зудить	negative	
зябнуть	negative	
избаловать	negative	
избивать	negative	
избиваться	negative	
избить	negative	
извериваться	negative	
извериться	negative	
известись	negative	
изводить	negative	
изводиться	negative	
извозить	negative	
извратить	negative	
извращать	negative	
изгадить	negative	
изголодаться	negative	
издеваться	negative	
изламываться	negative	
изломаться	negative	
измазать	negative	
измазаться	negative	
измарать	negative	
изматывать	negative	
изматываться	negative	
измаяться	negative	
измориться	negative	
измотать	negative	
измотаться	negative	
измочаливать	negative	
измочалить	negative	
измучить	negative	
измучиться	negative	
измываться	negative	
измызгать	negative	
измызгивать	negative	
измяться	negative	
изнасиловать	negative	
изнашивать	negative	
изнашиваться	negative	
изнемогать	negative	
изнемочь	negative	
изничтожать	negative	
изничтожить	negative	
износить	negative	
износиться	negative	
изнурить	negative	
изнурять	negative	
изнывать	negative	
изныть	negative	
изовраться	negative	
изолгаться	negative	
изранить	negative	
изругать	negative	
изуверствовать	negative	
изувечивать	negative	
изувечить	negative	
изуродовать	negative	
инспирировать	negative	
искажать	negative	
искалечить	negative	
исковеркать	negative	
искорежить	negative	
искусать	negative	
искусывать	negative	
испачкать	negative	
испачкаться	negative	
испоганить	negative	
испортить	negative	
испортиться	negative	
испражниться	negative	
испражняться	negative	
испугаться	negative	
иссохнуть	negative	
исстрадаться	negative	
иссушать	negative	
иссушивать	negative	
иссушить	negative	
иссыхать	negative	
истерить	negative	
истирать	negative	
истираться	negative	
истомиться	negative	
истосковаться	negative	
истощать	negative	
истощить	negative	
истреблять	negative	
исхудать	negative	
исчахнуть	negative	
казнить	negative	
калечить	negative	
канителиться	negative	
канючить	negative	
капризничать	negative	
кичиться	negative	
клеветать	negative	
клянчить	negative	
коверкать	negative	
ковыряться	negative	
кокать	negative	
кокнуть	negative	
колбасить	negative	
колдовать	negative	
комплексовать	negative	
контузить	negative	
конфисковать	negative	
конфисковывать	negative	
конфликтовать	negative	
конфронтировать	negative	
конфузиться	negative	
корежить	negative	
корить	negative	
корнать	negative	
коробить	negative	
коротнуть	negative	
коррумпировать	negative	
коррумпироваться	negative	
косячить	negative	
кочевряжиться	negative	
коченеть	negative	
кощунствовать	negative	
красть	negative	
кривляться	negative	
критиканствовать	negative	
кровоточить	negative	
крушить	negative	
лапать	negative	
лгать	negative	
лебезить	negative	
лентяйничать	negative	
лентяйствовать	negative	
лизать	negative	
лизоблюдничать	negative	
лихачить	negative	
лихорадить	negative	
лицемерить	negative	
лоботрясничать	negative	
лодырничать	negative	
лопухнуться	negative	
лохануться	negative	
лямзить	negative	
ляпать	negative	
ляпнуть	negative	
мародерствовать	negative	
мелочиться	negative	
мошенничать	negative	
мудрить	negative	
мусорить	negative	
мутнеть	negative	
мухлевать	negative	
мучать	negative	
мучить	negative	
мучиться	negative	
мытарить	negative	
набедокурить	negative	
набезобразничать	negative	
наблудить	negative	
наболеть	negative	
набузить	negative	
навонять	negative	
наворовать	negative	
наворовывать	negative	
наворотить	negative	
наврать	negative	
навредить	negative	
нагадить	negative	
наглеть	negative	
наговаривать	negative	
наголодаться	negative	
награбить	negative	
нагрешить	negative	
нагрубить	negative	
нагрубиянить	negative	
надебоширить	negative	
надерзить	negative	
надоедать	negative	
надоесть	negative	
надраться	negative	
надругаться	negative	
надрываться	negative	
надсмехаться	negative	
наебывать	negative	
нажраться	negative	
наклеветать	negative	
наклюкаться	negative	
накостылять	negative	
накосячить	negative	
накрадывать	negative	
накрасть	negative	
накричать	negative	
накуролесить	negative	
накусать	negative	
накусывать	negative	
налакаться	negative	
нализаться	negative	
намаяться	negative	
намудрить	negative	
намусорить	negative	
намутить	negative	
намучиться	negative	
намыкаться	negative	
наорать	negative	
наошибаться	negative	
напакостить	negative	
напасть	negative	
напачкать	negative	
напиваться	negative	
наплевать	negative	
напортачить	negative	
напортить	negative	
напугаться	negative	
напутать	negative	
напялить	negative	
нарушать	negative	
нарушить	negative	
насвинячить	negative	
насиловать	negative	
наскучить	negative	
насмехаться	negative	
насмешничать	negative	
насорить	negative	
нассать	negative	
натворить	negative	
натерпеться	negative	
наушничать	negative	
нахамить	negative	
нахулиганить	negative	
начудить	negative	
начхать	negative	
нашкодить	negative	
нашкодничать	negative	
наябедничать	negative	
невзлюбить	negative	
неволить	negative	
недолюбить	negative	
недолюбливать	negative	
недомогать	negative	
недооценить	negative	
недопонимать	negative	
недопонять	negative	
нездоровиться	negative	
ненавидеть	negative	
непонимать	negative	
никнуть	negative	
нищать	negative	
нищенствовать	negative	
ныть	negative	
обанкротиться	negative	
обворовать	negative	
обворовывать	negative	
обгадить	negative	
обделить	negative	
обдолбать	negative	
обеднеть	negative	
обезводить	negative	
обезвоживать	negative	
обескроветь	negative	
обескровить	negative	
обескровливать	negative	
обессилевать	negative	
обессилеть	negative	
обессиливать	negative	
обессилить	negative	
обессмысливаться	negative	
обессмыслиться	negative	
обесцениваться	negative	
обесцениться	negative	
обесчестить	negative	
обесчещивать	negative	
обжечься	negative	
обжираться	negative	
обзавидоваться	negative	
обидеть	negative	
обижать	negative	
обкорнать	negative	
обкрадывать	negative	
облажать	negative	
облажаться	negative	
облаивать	negative	
облаять	negative	
облениваться	negative	
облениться	negative	
облысеть	negative	
обмануть	negative	
обмануться	negative	
обманывать	negative	
обморозить	negative	
обморозиться	negative	
обнаглеть	negative	
обнищать	negative	
обокрасть	negative	
оболванивать	negative	
оболванить	negative	
оболгать	negative	
оборзеть	negative	
обрекать	negative	
обрекаться	negative	
обременить	negative	
обременять	negative	
обречь	negative	
обсчитаться	negative	
обсчитываться	negative	
обхамить	negative	
обчесться	negative	
оголодать	negative	
огорчать	negative	
огорчаться	negative	
огорчить	negative	
огорчиться	negative	
ограбить	negative	
огрызаться	negative	
огрызнуться	negative	
одуреть	negative	
одурманить	negative	
одурять	negative	
озвереть	negative	
озябнуть	negative	
оккупировать	negative	
оклеветать	negative	
околеть	negative	
оконфуживаться	negative	
оконфузиться	negative	
окоченеть	negative	
окрыситься	negative	
омрачать	negative	
омрачаться	negative	
омрачить	negative	
омрачиться	negative	
опаздывать	negative	
опечаливаться	negative	
опечалить	negative	
опечалиться	negative	
оплевать	negative	
оплевывать	negative	
оплешиветь	negative	
оплошать	negative	
опоздать	negative	
опозориться	negative	
ополоуметь	negative	
опостылевать	negative	
опостылеть	negative	
опошлить	negative	
опошлять	negative	
опошляться	negative	
опростоволоситься	negative	
опротиветь	negative	
опрыщаветь	negative	
опустыниваться	negative	
осатанеть	negative	
осиротеть	negative	
оскандалиться	negative	
осквернить	negative	
